Time [s],CON (-ATC),CON (+ATC),HEM1 (-ATC),HEM1 (+ATC)
0,339,361,212,222
30,322,365,204,220
60,329,338,223,238
90.1,362,392,181,230
120,386,404,209,247
150.1,364,448,239,230
180,404,450,228,280
210.1,381,516,206,257
240.1,407,537,213,272
270.1,427,603,242,279
300.3,395,613,216,275
330.3,452,661,236,309
360.1,432,703,234,333
390.3,440,714,235,360
420.3,427,854,268,394
450.3,416,917,226,388
480.3,410,983,264,474
510.3,408,965,267,483
540.3,428,1095,261,521
570.3,489,1209,264,571
600.3,470,1307,282,560
630.3,490,1358,302,667
660.1,514,1440,273,778
690.1,462,1662,246,776
720.1,444,1791,282,853
750.1,490,1796,250,927
780.1,504,1864,276,1009
810.2,489,2114,245,1047
840.2,480,2291,228,1170
870.2,482,2373,298,1248
900.2,485,2526,325,1419
930.2,497,2835,275,1498
960.4,490,2786,278,1608
990.4,525,3105,314,1688
1020.4,508,3175,283,1750
1050.4,488,3432,314,1970
1080.4,493,3787,276,2110
1110.4,551,3950,250,2218
1140.4,483,4063,280,2371
1170.4,502,4272,293,2597
1200.4,525,4606,282,2620
1230.4,489,4837,284,2806
1260.5,522,4829,273,3006
1290.4,505,5148,292,3260
1320.2,503,5530,295,3383
1350.2,566,5684,291,3306
1380.2,558,5979,295,3726
1410.2,549,6235,294,3937
1440.2,541,6400,280,4146
1470.2,526,6853,260,4411
1500.2,536,7104,285,4432
1530.2,536,7477,310,4814
1560.2,530,7828,283,5122
1590.2,542,8216,293,5101
1620.2,524,8308,274,5350
1650.3,534,8723,312,5701
1680.2,546,9190,279,6071
1710.5,580,9309,288,6213
1740.5,517,9752,323,6364
1770.4,556,10205,299,6718
1800.4,565,10418,266,6938
1830.5,617,10843,280,7173
1860.5,551,11420,280,7293
1890.5,589,11645,278,7753
1920.2,572,11977,316,8061
1950.2,572,12250,271,8313
1980.2,571,12788,309,8647
2010.2,548,13022,284,8857
2040.3,560,13506,331,9216
2070.3,582,14093,330,9396
2100.3,584,14362,294,9886
2130.3,582,14773,298,10037
2160.3,542,15277,324,10505
2190.3,562,15574,294,10551
2220.3,601,16243,335,11185
2250.5,559,16231,323,11251
2280.3,601,17055,306,11567
2310.5,587,17590,342,11753
2340.5,602,17972,280,12314
2370.5,621,18659,309,12468
2400.5,610,18979,333,12967
2430.5,605,19293,325,13475
2460.5,608,19732,282,13552
2490.5,620,20430,291,13783
2520.3,600,21130,313,14111
2550.5,594,21492,349,14643
2580.5,637,21828,311,14817
2610.3,577,22586,314,15297
2640.6,578,23182,303,15663
2670.4,624,23692,337,15757
2700.4,566,23936,295,16275
2730.4,633,24591,313,16797
2760.4,617,25279,351,16903
2790.4,591,25558,295,17405
2820.4,593,26266,298,17432
2850.4,652,26833,320,18019
2880.4,672,27514,311,18434
2910.4,675,28091,353,18784
2940.6,652,28647,318,19200
2970.6,578,29089,304,19375
3000.6,602,30101,329,19848
3030.6,653,30323,348,19943
3060.6,632,31176,318,20512
3090.6,668,31558,359,20891
3120.7,654,32232,360,21568
3150.6,698,32950,313,21789
3180.6,652,33629,338,22109
3210.6,636,34291,358,22651
3240.4,634,35356,332,22796
3270.5,577,35906,343,23109
3300.4,727,36251,358,23726
3330.4,675,36914,348,24032
3360.4,644,37680,369,24622
3390.4,647,38199,327,24825
3420.4,646,39155,351,25282
3450.5,689,39449,342,25615
3480.4,679,40393,356,26195
3510.7,650,40737,339,26573
3540.4,662,41721,361,26957
3570.5,676,42678,390,27226
3600.5,703,42968,395,27512